endpoint	methods	permission	file:line	in_registry?
apollo/v1/my/group-invitations	GET	$logged	apollo-groups/src/Plugin.php:312	yes
apollo/v1/newsletter/subscribe	POST	'__return_true'	apollo-email/src/Newsletter.php:635	yes
apollo/v1/newsletter/subscribers	GET	function ()	apollo-email/src/Newsletter.php:647	yes
apollo/v1/notifications	GET	function ()	apollo-notif/src/Plugin.php:100	yes
apollo/v1/notifications/(?P<id>\d+)	DELETE	function ()	apollo-notif/src/Plugin.php:205	yes
apollo/v1/notifications/(?P<id>\d+)/displayed	POST	function ()	apollo-notif/src/Plugin.php:229	yes
apollo/v1/notifications/(?P<id>\d+)/read	POST	function ()	apollo-notif/src/Plugin.php:160	yes
apollo/v1/notifications/preferences	GET,PUT	function ()	apollo-notif/src/Plugin.php:185	yes
apollo/v1/notifications/preferences/snooze	POST	function ()	apollo-notif/src/Plugin.php:242	yes
apollo/v1/notifications/preferences/snooze	DELETE	function ()	apollo-notif/src/Plugin.php:264	yes
apollo/v1/notifications/push/subscribe	POST	function ()	apollo-notif/src/Plugin.php:285	yes
apollo/v1/notifications/push/unsubscribe	DELETE	function ()	apollo-notif/src/Plugin.php:308	yes
apollo/v1/notifications/push/vapid-public-key	GET	'__return_true'	apollo-notif/src/Plugin.php:328	yes
apollo/v1/notifications/read	DELETE	function ()	apollo-notif/src/Plugin.php:217	yes
apollo/v1/notifications/read-all	POST	function ()	apollo-notif/src/Plugin.php:168	yes
apollo/v1/notifications/unread-count	GET	function ()	apollo-notif/src/Plugin.php:177	yes
apollo/v1/pane-mode/disable	POST	$this, 'check_admin'	apollo-core/src/API/PaneModeController.php:35	yes
apollo/v1/pane-mode/enable	POST	$this, 'check_admin'	apollo-core/src/API/PaneModeController.php:25	yes
apollo/v1/pane-mode/status	GET	'__return_true'	apollo-core/src/API/PaneModeController.php:9	yes
apollo/v1/pane/fragment	GET	function ()	apollo-pane-engine/includes/fragment-helper.php:121	yes
apollo/v1/pane/plugins	GET	function ()	apollo-pane-engine/includes/fragment-helper.php:107	yes
apollo/v1/pane/section/(?P<slug>[a-z0-9-]+)	GET	function ()	apollo-pane-engine/includes/section-renderer.php:5	yes
apollo/v1/pane/section/{$safe_slug}	GET	function ()	apollo-pane-engine/includes/section-renderer.php:59	no
apollo/v1/pane/section/chat-thread/(?P<thread_id>\d+)	GET	function ()	apollo-pane-engine/includes/section-renderer.php:27	yes
apollo/v1/points	GET	$this, 'check_logged_in'	apollo-membership/src/API/PointsController.php:10	yes
apollo/v1/points/award	POST	$this, 'check_admin'	apollo-membership/src/API/PointsController.php:66	yes
apollo/v1/points/deduct	POST	$this, 'check_admin'	apollo-membership/src/API/PointsController.php:93	yes
apollo/v1/points/history	GET	$this, 'check_logged_in'	apollo-membership/src/API/PointsController.php:37	yes
apollo/v1/points/reset	POST	$this, 'check_admin'	apollo-membership/src/API/PointsController.php:120	yes
apollo/v1/preferences	POST	function ()	apollo-admin/src/UserPreferences.php:113	yes
